Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1,1,0,0,11550,23100
1,2,0,0,111550,123100
1,3,0,0,211550,223100
1,4,0,0,311550,323100
1,5,0,0,411550,423100
1,6,0,0,511550,523100
1,7,0,0,611550,623100
1,8,0,0,711550,723100
2,9,0,0,10300,20600
2,10,0,0,110300,120600
2,11,0,0,210300,220600
2,12,0,0,310300,320600
2,13,0,0,410300,420600
2,14,0,0,510300,527800
2,15,0,0,610300,620600
2,16,0,0,710300,720600
3,17,0,0,11150,22300
3,18,0,0,160850,161700
3,19,0,0,323400,329599
3,20,0,0,480850,481700
3,21,0,0,640850,646800
4,22,0,0,27850,48899
4,23,0,0,123200,146400
4,24,0,0,223200,246400
4,25,0,0,333600,365099
4,26,0,0,423200,446400
4,27,0,0,523200,548899
4,28,0,0,623200,646400
4,29,0,0,723200,746400
5,30,0,0,32850,66500
5,31,0,0,120500,141000
5,32,0,0,220500,241000
5,33,0,0,329800,348900
5,34,0,0,420500,441000
5,35,0,0,520500,545700
5,36,0,0,620500,641000
5,37,0,0,720500,741000
6,38,0,0,26000,57800
6,39,0,0,166350,172700
6,40,0,0,328900,355499
6,41,0,0,486350,492700
6,42,0,0,646350,657800
7,43,0,0,36150,73100
7,44,0,0,123800,147600
7,45,0,0,223800,247600
7,46,0,0,335500,368699
7,47,0,0,423800,447600
7,48,0,0,523800,552300
7,49,0,0,644150,648300
7,50,0,0,723800,747600
8,51,0,0,29300,64400
8,52,0,0,169650,179300
8,53,0,0,332200,362099
8,54,0,0,489650,499300
8,55,0,0,649650,664400
9,56,0,0,33250,72300
9,57,0,0,173600,187200
9,58,0,0,336150,369999
9,59,0,0,493600,507200
9,60,0,0,653600,672300
