Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1,1,0,0,11550,23100
1,2,0,0,111550,123100
1,3,0,0,211550,223100
1,4,0,0,311550,323100
1,5,0,0,411550,423100
1,6,0,0,511550,523100
1,7,0,0,611550,623100
1,8,0,0,711550,723100
2,9,0,0,10300,20600
2,10,0,0,110300,120600
2,11,0,0,210300,220600
2,12,0,0,310300,320600
2,13,0,0,410300,420600
2,14,0,0,510300,520600
2,15,0,0,610300,620600
2,16,0,0,710300,720600
3,17,0,0,11150,22300
3,18,0,0,160850,161700
3,19,0,0,320850,339300
3,20,0,0,480850,481700
3,21,0,0,640850,641700
4,22,0,0,26050,55700
4,23,0,0,118800,137600
4,24,0,0,226350,252700
4,25,0,0,324800,348100
4,26,0,0,418800,437600
4,27,0,0,526350,552700
4,28,0,0,618800,637600
4,29,0,0,722750,749600
5,30,0,0,27350,55500
5,31,0,0,120500,141000
5,32,0,0,227750,255500
5,33,0,0,328950,342700
5,34,0,0,420500,441000
5,35,0,0,527750,555500
5,36,0,0,620500,641000
5,37,0,0,724450,748900
6,38,0,0,23900,48600
6,39,0,0,215800,231600
6,40,0,0,325500,350300
6,41,0,0,515800,531600
6,42,0,0,645500,652000
7,43,0,0,23900,55700
7,44,0,0,117550,137600
7,45,0,0,223050,255500
7,46,0,0,328800,355200
7,47,0,0,417550,437600
7,48,0,0,523050,555500
7,49,0,0,617550,637600
7,50,0,0,720850,749600
8,51,0,0,23250,54200
8,52,0,0,222400,252700
8,53,0,0,324150,350300
8,54,0,0,522400,552700
8,55,0,0,713600,727200
9,56,0,0,24550,56800
9,57,0,0,224450,256800
9,58,0,0,328100,358200
9,59,0,0,524450,556800
9,60,0,0,722750,749600
