Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1,1,0,0,23100,23100
1,2,0,0,123100,123100
1,3,0,0,223100,223100
1,4,0,0,323100,323100
1,5,0,0,423100,423100
1,6,0,0,523100,523100
1,7,0,0,623100,623100
1,8,0,0,723100,723100
2,9,0,0,20600,20600
2,10,0,0,120600,120600
2,11,0,0,220600,220600
2,12,0,0,320600,320600
2,13,0,0,420600,420600
2,14,0,0,527800,527800
2,15,0,0,620600,620600
2,16,0,0,720600,720600
3,17,0,0,22300,22300
3,18,0,0,161700,161700
3,19,0,0,322300,322300
3,20,0,0,481700,481700
3,21,0,0,641700,641700
4,22,0,0,42000,42000
4,23,0,0,131000,131000
4,24,0,0,231000,231000
4,25,0,0,331000,331000
4,26,0,0,431000,431000
4,27,0,0,531000,531000
4,28,0,0,631000,631000
4,29,0,0,731000,731000
5,30,0,0,40200,40200
5,31,0,0,138500,138500
5,32,0,0,238500,238500
5,33,0,0,340200,340200
5,34,0,0,438500,438500
5,35,0,0,545700,545700
5,36,0,0,638500,638500
5,37,0,0,738500,738500
6,38,0,0,34100,34100
6,39,0,0,172700,172700
6,40,0,0,342000,342000
6,41,0,0,492700,492700
6,42,0,0,652700,652700
7,43,0,0,48600,48600
7,44,0,0,145100,145100
7,45,0,0,245100,245100
7,46,0,0,346800,346800
7,47,0,0,445100,445100
7,48,0,0,552300,552300
7,49,0,0,645100,645100
7,50,0,0,745100,745100
8,51,0,0,46800,46800
8,52,0,0,179300,179300
8,53,0,0,348600,348600
8,54,0,0,499300,499300
8,55,0,0,659300,659300
9,56,0,0,54700,54700
9,57,0,0,187200,187200
9,58,0,0,356500,356500
9,59,0,0,507200,507200
9,60,0,0,667200,667200
