Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1,1,0,0,23100,23100
1,2,0,0,123100,123100
1,3,0,0,223100,223100
1,4,0,0,323100,323100
1,5,0,0,423100,423100
1,6,0,0,523100,523100
1,7,0,0,623100,623100
1,8,0,0,723100,723100
2,9,0,0,20600,20600
2,10,0,0,120600,120600
2,11,0,0,220600,220600
2,12,0,0,320600,320600
2,13,0,0,420600,420600
2,14,0,0,520600,520600
2,15,0,0,620600,620600
2,16,0,0,720600,720600
3,17,0,0,22300,22300
3,18,0,0,161700,161700
3,19,0,0,324800,324800
3,20,0,0,481700,481700
3,21,0,0,641700,641700
4,22,0,0,42000,42000
4,23,0,0,131000,131000
4,24,0,0,231000,231000
4,25,0,0,332700,332700
4,26,0,0,431000,431000
4,27,0,0,531000,531000
4,28,0,0,631000,631000
4,29,0,0,731000,731000
5,30,0,0,40200,40200
5,31,0,0,138500,138500
5,32,0,0,245100,245100
5,33,0,0,345100,345100
5,34,0,0,438500,438500
5,35,0,0,545100,545100
5,36,0,0,645100,645100
5,37,0,0,745100,745100
6,38,0,0,34100,34100
6,39,0,0,172700,172700
6,40,0,0,343700,343700
6,41,0,0,492700,492700
6,42,0,0,652700,652700
7,43,0,0,48600,48600
7,44,0,0,166600,166600
7,45,0,0,327200,327200
7,46,0,0,351700,351700
7,47,0,0,486600,486600
7,48,0,0,627200,627200
7,49,0,0,651700,651700
7,50,0,0,745500,745500
8,51,0,0,46800,46800
8,52,0,0,227200,227200
8,53,0,0,350300,350300
8,54,0,0,527200,527200
8,55,0,0,727200,727200
9,56,0,0,54700,54700
9,57,0,0,238900,238900
9,58,0,0,358200,358200
9,59,0,0,538900,538900
9,60,0,0,738900,738900
